title,year,month,activity,link,conference,description
The Revolution Will be Syndicated,2008,November,Presentation,http://cogdogblog.com/2008/11/07/revolution-is-syndicated/,NMC Rock the Academy Symposium,"""Now this was just the fun part. Tom and Jim went on to succinctly describing the ideas of syndication, aggregating, tagging, re-organizing content using free, open source tools that liberate your organization from the zombie grip."" - Alan Levine
"
Welcome to Non-Programistan,2008,April,Presentation,http://bionicteaching.com/?p=565,NMC Symposium on Mashups,"A presentation with Jim Groom on how to create mashups without knowing anything about programming. The fun thing is it’s presented using a mashup of communist propaganda posters and Communist rhetoric. Good clean American fun! 
"
A Blogging Bestiary,2008,May,Presentation,http://bionicteaching.com/?p=598,University of Richmond,A presentation on the flexibility and power of WordPress in education. This included an interactive site of examples that participants could add examples to via a WordPress form.
Instructional Technology Applications for the Classroom 2008,2008,,Instructor,http://spcs.Richmond.edu/degrees/education.html,University of Richmond - EDUC 538U ,"Theory and pedagogy of integrating common and practical instructional technologies within the teaching and learning environment and across the curriculum. Includes current practice, skill building and exploration of resources to better prepare educators to fully understand the potential, the consequences, and future uses of instructional technology to address the needs of all learners."
WordPress in K12: Winning Hearts and Minds,2009,November,Presentation,http://2009.newyork.wordcamp.org/program/saturday-sessions/,WordCamp NYU,"This presentation tracks the way we implemented WordPress in a fiercely conservative k12 school system. The presentation follows “Bob” as he progress from paranoid doubter to full-fledged power user. We’ll cover how we scaled the use of blogs from a teacher-driven, one-way communication tool all the way up to community-driven sites based around communication and composed of student-created content. Along the way, we’ll discuss common roadblocks, fears and ways to deal with administrative paranoia."
WordPress and Education,2009,November,Panelist,http://www.flickr.com/photos/serenae/4122582496/in/photosof-bionicteaching/,WordCamp NYU,"This was a panel with <a href=""http://bavatuesdays.com"">Jim Groom</a>, <a href=""http://blsci.baruch.cuny.edu/members/lwaltzer/"">Luke Waltzer</a>, <a href=""http://ma.tt/"">Matt Mullenweg</a>, and myself."
Technology Integration for Teacher Mentors,2009,June,Workshop,http://bionicteaching.com/?p=1104,University of Richmond,This was an all day workshop for current teachers from multiple districts who would have student teachers from the UR teacher licensure program.
Technology Integration,2009,June,Workshop,http://bionicteaching.com/?p=1073,Miami-Dade,This was a general introduction to technology integration for K12 teachers.
School 2.0 - 2009,2009,,Presentation,http://etoolkit.org/etoolkit/,ISTE,"I traveled with other speakers to a number of citites across the United States publicizing the concetp of School 2.0.  <a hre=""http://achayefsky.wordpress.com/2009/05/03/getting-from-here-to-there/"">Here is one person's take on a short version of the full day workshop.</a>  I presented versions of this <a href=""http://bionicteaching.com/?p=841"">presentation</a> on information fluency that eventually evolved into something broader on media literacy, digital literacy, and the increasingly sophisticated ways digital media allows people to manipulate truth.  "
Instructional Technology Applications for the Classroom 2009,2009,,Instructor,http://spcs.Richmond.edu/degrees/education.html,University of Richmond - EDUC 538U ,"Theory and pedagogy of integrating common and practical instructional technologies within the teaching and learning environment and across the curriculum. Includes current practice, skill building and exploration of resources to better prepare educators to fully understand the potential, the consequences, and future uses of instructional technology to address the needs of all learners."
